-0.09330244817670462+0.2305006066038851*I,0.12390763534632268-0.3061097073904146*I
-0.09323099790871654+0.22977141808181087*I,0.12397739248469478-0.30554710257617274*I
-0.09315927861496756+0.22904501283760215*I,0.12404697717102176-0.30498670557585783*I
-0.09308729194974047+0.22832137018843443*I,0.12411639092120584-0.3044284976436259*I
-0.09301503954959156+0.2276004696909294*I,0.124185635235578-0.30387246025320963*I
-0.09294252303321647+0.2268822911369503*I,0.12425471159861443-0.3033185750937648*I
-0.09286974400194982+0.22616681455091314*I,0.1243236214794994-0.3027668240677127*I
-0.09279670403993721+0.22545402018556868*I,0.1243923663322532-0.30221718928651553*I
-0.09272340471436895+0.22474388851870433*I,0.1244609475959442-0.3016696530676522*I
-0.09264984757570972+0.22403640024973223*I,0.12452936669489703-0.301124197931417*I
-0.09257603415792419+0.223331536296345*I,0.12459762503889697-0.3005808065977834*I
-0.09250196597869874+0.22262927779123237*I,0.12466572402339082-0.3000394619833248*I
-0.09242764453965956+0.2219296060788614*I,0.1247336650296845-0.2995001471981955*I
-0.09235307132658707+0.2212325027123163*I,0.12480144942513727-0.2989628455431686*I
-0.09227824780962662+0.2205379494501984*I,0.12486907856335239-0.2984275405067305*I
-0.09220317544349567+0.21984592825358257*I,0.12493655378436479-0.29789421576222863*I
-0.09212785566768743+0.2191564212830318*I,0.12500387641482524-0.29736285516507516*I
-0.09205228990667143+0.21846941089566593*I,0.12507104776818195-0.2968334427500005*I
-0.09197647957009024+0.21778487964228477*I,0.12513806914485842-0.29630596272835974*I
-0.09190042605295327+0.21710281026454442*I,0.12520494183242875-0.29578039948548834*I
-0.09182413073582753+0.21642318569218488*I,0.12527166710579019-0.2952567375781068*I
-0.09174759498502458+0.21574598904030803*I,0.12533824622733203-0.29473496173177277*I
-0.09167082015278537+0.21507120360670617*I,0.12540468044710285-0.29421505683838134*I
-0.09159380757746105+0.21439881286923756*I,0.12547097100297366-0.2936970079537091*I
-0.0915165585836916+0.2137288004832503*I,0.12553711912079946-0.29318080029500454*I
-0.09143907448258139+0.21306115027905156*I,0.12560312601457782-0.2926664192386206*I
-0.09136135657187136+0.21239584625942387*I,0.12566899288660427-0.2921538503176924*I
-0.09128340613610948+0.21173287259718332*I,0.1257347209276263-0.29164307921985416*I
-0.09120522444681711+0.21107221363278306*I,0.12580031131699343-0.2911340917849986*I
-0.09112681276265418+0.2104138538719587*I,0.1258657652228064-0.29062687400307663*I
-0.09104817232958053+0.209757777983415*I,0.12593108380206275-0.2901214120119352*I
-0.09096930438101523+0.20910397079655343*I,0.12599626820080045-0.28961769209519445*I
-0.09089021013799323+0.20845241729923963*I,0.12606131955423916-0.2891157006801618*I
-0.0908108908093199+0.20780310263560986*I,0.12612623898691985-0.2886154243357835*I
-0.09073134759172244+0.20715601210391518*I,0.12619102761284107-0.288116849770631*I
-0.09065158166999954+0.20651113115440384*I,0.12625568653559388-0.2876199638309241*I
-0.09057159421716829+0.2058684453872398*I,0.12632021684849437-0.2871247534985877*I
-0.09049138639460923+0.20522794055045662*I,0.12638461963471428-0.28663120588934177*I
-0.09041095935220855+0.20458960253794725*I,0.12644889596740913-0.2861393082508257*I
-0.09033031422849869+0.2039534173874878*I,0.12651304690984477-0.2856490479607539*I
-0.09024945215079642+0.20331937127879493*I,0.12657707351552197-0.2851604125251039*I
-0.09016837423533872+0.20268745053161677*I,0.12664097682829845-0.28467338957633526*I
-0.09008708158741703+0.2020576416038548*I,0.12670475788251-0.28418796687163783*I
-0.09000557530150886+0.20142993108971932*I,0.12676841770308878-0.28370413229121216*I
-0.0899238564614078+0.20080430571791424*I,0.12683195730568037-0.2832218738365769*I
-0.08984192614035147+0.20018075234985314*I,0.12689537769675882-0.28274117962890527*I
-0.08975978540114744+0.19955925797790477*I,0.1269586798737401-0.28226203790739063*I
-0.08967743529629729+0.19893980972366837*I,0.1270218648250934-0.28178443702763845*I
-0.08959487686811889+0.19832239483627612*I,0.1270849335304514-0.2813083654600848*I
-0.0895121111488666+0.19770700069072542*I,0.127147886960718-0.2808338117884425*I
-0.08942913916085002+0.19709361478623744*I,0.12721072607817538-0.2803607647081723*I
-0.08934596191655068+0.19648222474464339*I,0.1272734518365886-0.2798892130249794*I
-0.08926258041873728+0.19587281830879563*I,0.12733606518130947-0.279419145653334*I
-0.08917899566057878+0.19526538334100738*I,0.1273985670493778-0.2789505516150184*I
-0.0890952086257562+0.19465990782151518*I,0.12746095836962204-0.2784834200376959*I
-0.08901122028857275+0.1940563798469675*I,0.1275232400627581-0.2780177401535027*I
-0.08892703161406205+0.1934547876289376*I,0.12758541304148666-0.2775535012976652*I
-0.08884264355809533+0.19285511949246054*I,0.12764747821058925-0.27709069290713717*I
-0.08875805706748606+0.19225736387459275*I,0.1277094364670222-0.27662930451926016*I
-0.08867327308009443+0.19166150932299605*I,0.12777128870001053-0.2761693257704457*I
-0.08858829252492899+0.19106754449454247*I,0.12783303579113905-0.2757107463948773*I
-0.08850311632224789+0.1904754581539436*I,0.12789467861444317-0.2752535562232358*I
-0.08841774538365776+0.1898852391723984*I,0.12795621803649776-0.27479774518144123*I
-0.08833218061221178+0.18929687652626584*I,0.12801765491650482-0.27434330328941864*I
-0.08824642290250619+0.1887103592957558*I,0.1280789901063804-0.27389022065988106*I
-0.08816047314077531+0.1881256766636422*I,0.12814022445083947-0.27343848749713234*I
